,Background rarity score,Offhand rarity score,Mouth rarity score,Eyes rarity score,Clothing rarity score,Hair rarity score,Type rarity score,Ear rarity score,Neck rarity score,Headgear rarity score,Face rarity score,Special rarity score,# matching traits rarity score,final score,tokenID
5909,0.0015065424896543395,0.0016924786336630887,0.0010142448110075828,0.001759349921054752,0.3526969183973296,0.4330871277235454,0.0021343499426766,0.0,0.0010401254088858814,1.2650699949936035e-05,0.0,0.0048091342603595886,0.0,0.7997529222881268,Azuki #5909
606,0.0016549385378858163,0.0008162308304190782,0.0005434492253822865,0.000531347291593717,0.3526969183973296,0.4330871277235454,0.0021494159422719645,0.0,0.0004329456016682349,0.0006797070990050379,0.0,0.00435544234900491,0.0,0.796947522998106,Azuki #606
9605,0.0016549385378858163,0.008220610506363574,0.0009801745718781292,0.00020671213171661573,0.3526969183973296,0.23097980145255753,0.009615808162795631,0.0,0.0024368652436754933,1.2650699949936035e-05,0.0,0.002653315453991497,0.0,0.6094577951581438,Azuki #9605
2174,0.0015065424896543395,0.0019181424514848337,0.00047955443655731475,0.00019892147348609003,0.3526969183973296,0.18235247483096648,0.009615808162795631,0.0,1.131320911641362e-05,1.2650699949936035e-05,0.0,0.0048091342603595886,0.0,0.5536014604117001,Azuki #2174
3602,0.0017251256633765094,0.0009753266702465257,0.0011059112516525829,0.00019892147348609003,0.3526969183973296,0.18235247483096648,0.009615808162795631,0.0,1.131320911641362e-05,1.2650699949936035e-05,0.0,0.002653315453991497,0.0,0.5513477658129112,Azuki #3602
6954,0.0003987906590261487,0.007193034193068127,0.001128951069395345,0.0002578851675813154,0.44087114799666194,0.03937155706577685,0.00010404348239926934,0.0,1.131320911641362e-05,1.2650699949936035e-05,0.0,2.5322339238400638e-05,0.0,0.4893746958822137,Azuki #6954
6827,0.0004052733598283567,3.7245484494851146e-05,0.0009904113820282923,0.00024064056670961654,0.44087114799666194,0.043856924326434975,0.00010404348239926934,0.0,1.131320911641362e-05,1.2650699949936035e-05,0.0,2.5322339238400638e-05,0.0,0.48655497284686205,Azuki #6827
6088,0.0015065424896543395,0.008220610506363574,0.0009801745718781292,0.00021282458722436516,0.29391409866444135,0.1649855724661125,0.009615808162795631,0.0,1.131320911641362e-05,1.2650699949936035e-05,0.0,0.0048091342603595886,0.0,0.48426872961789585,Azuki #6088
2557,0.0004052733598283567,0.00044095228769766294,0.004410785573451581,0.00022750214496397654,0.0430118193167475,0.4330871277235454,0.00010404348239926934,0.0,1.131320911641362e-05,1.2650699949936035e-05,0.0,2.5322339238400638e-05,0.0,0.48173679013693854,Azuki #2557
5930,0.0004052733598283567,3.7245484494851146e-05,0.0010625421829603247,0.00028478685772469003,0.44087114799666194,0.037659750236830034,0.00010404348239926934,0.0,1.131320911641362e-05,1.2650699949936035e-05,0.0,2.5322339238400638e-05,0.0,0.48047407584920426,Azuki #5930
2167,0.00043787892192219613,0.0002707965813860942,0.0026526402749429087,0.001759349921054752,0.44087114799666194,0.023894462219230087,0.00010404348239926934,0.0,1.131320911641362e-05,1.2650699949936035e-05,0.0,2.5322339238400638e-05,0.0,0.470039605645902,Azuki #2167
908,0.0016549385378858163,0.0017705930321398465,0.00047955443655731475,0.000531347291593717,0.01268693951069531,0.4330871277235454,0.0021343499426766,0.0,0.0004329456016682349,0.0006797070990050379,0.0,0.00435544234900491,0.0,0.4578129455247722,Azuki #908
6705,0.0004519627468963019,0.00076217580853702,0.0009801745718781292,5.208601739964726e-05,0.021246802313092145,0.4330871277235454,0.00010404348239926934,0.0,1.131320911641362e-05,0.0007566550724773063,0.0,2.5322339238400638e-05,0.0,0.45747766328458006,Azuki #6705
2484,0.0004052733598283567,0.0008104827259795072,0.0010142448110075828,5.208601739964726e-05,0.01679509135225379,0.4330871277235454,0.00010404348239926934,0.0,0.0004222291263794172,1.2650699949936035e-05,0.0,2.5322339238400638e-05,0.0,0.4527285516379813,Azuki #2484
7642,0.0004052733598283567,0.0009753266702465257,0.0009801745718781292,0.0002249168933166586,0.016031678108969525,0.4330871277235454,0.00010404348239926934,0.0,1.131320911641362e-05,1.2650699949936035e-05,0.0,2.5322339238400638e-05,0.0,0.45185782705848865,Azuki #7642
2152,0.0004052733598283567,3.7245484494851146e-05,0.0009801745718781292,0.00020671213171661573,0.014695704933222064,0.4330871277235454,0.00010404348239926934,0.0,1.131320911641362e-05,1.2650699949936035e-05,0.0,2.5322339238400638e-05,0.0,0.44956556793538943,Azuki #2152
120,0.0016549385378858163,3.7245484494851146e-05,0.001128951069395345,0.00021056049587091442,0.29391409866444135,0.11548990072627877,0.00010404348239926934,0.0,1.131320911641362e-05,1.2650699949936035e-05,0.0,2.5322339238400638e-05,0.0,0.4125890247090711,Azuki #120
7514,0.0003987906590261487,0.008220610506363574,0.001308026066609779,0.00021282458722436516,0.29391409866444135,0.06299449130524297,0.00010404348239926934,0.0,1.131320911641362e-05,1.2650699949936035e-05,0.0,2.5322339238400638e-05,0.0,0.3672021715196122,Azuki #7514
6282,0.0007886288746864042,0.007672569805939335,0.0011059112516525829,0.001466124934212293,0.29391409866444135,0.049495671739833755,0.00010404348239926934,0.0,1.131320911641362e-05,1.2650699949936035e-05,0.0,0.00435544234900491,0.0,0.35892645501123627,Azuki #6282
1693,0.0003987906590261487,0.007672569805939335,0.0005434492253822865,0.00020889379009884917,0.29391409866444135,0.05021300031577338,0.0021494159422719645,0.0,1.131320911641362e-05,1.2650699949936035e-05,0.0,2.5322339238400638e-05,0.0,0.35514950465123807,Azuki #1693
9143,0.0016549385378858163,0.0007330480706311467,0.0009801745718781292,0.00021282458722436516,0.05038527405676137,0.28872475181569696,0.009615808162795631,0.0,1.131320911641362e-05,1.2650699949936035e-05,0.0,2.5322339238400638e-05,0.0,0.3523561060511781,Azuki #9143
7156,0.0007886288746864042,0.0002701609086598357,0.0009801745718781292,0.00021282458722436516,0.05038527405676137,0.28872475181569696,0.009615808162795631,0.0,1.131320911641362e-05,0.0006468180458273747,0.0,2.5322339238400638e-05,0.0,0.3516610765718849,Azuki #7156
2059,0.0004052733598283567,0.0002740203502121191,0.0009801745718781292,0.0004102111214894499,0.0430118193167475,0.28872475181569696,0.009615808162795631,0.0,1.131320911641362e-05,1.2650699949936035e-05,0.0,0.0029979018765877953,0.0,0.3464439244843022,Azuki #2059
9211,0.00043787892192219613,0.0008162308304190782,0.0009904113820282923,0.00020671213171661573,0.29391409866444135,0.048798549602652994,0.00010404348239926934,0.0,1.131320911641362e-05,1.2650699949936035e-05,0.0,2.5322339238400638e-05,0.0,0.3453172112638846,Azuki #9211
7530,0.0004052733598283567,3.7245484494851146e-05,0.0036473803780464995,0.00021056049587091442,0.05038527405676137,0.28872475181569696,0.00010404348239926934,0.0,0.0002203883295313754,1.2650699949936035e-05,0.0,2.5322339238400638e-05,0.0,0.3437728904418179,Azuki #7530
